family,tag,n,idx,decoder,method,dim,budget,f_opt,srate,nr,mean_gap,median_best,median_ftt
knapsack,uncorrelated,80,1,penalty,mbpso,80,800000,-32981,0.0,inf,0.022999,-32247,
knapsack,uncorrelated,80,1,penalty,bpso,80,800000,-32981,0.5161,0.3507,0.002149,-32981,280560.0
knapsack,uncorrelated,80,1,penalty,bde,80,800000,-32981,0.2258,0.57075,0.00496,-32850,456600
knapsack,uncorrelated,80,2,penalty,floor,80,800000,-32328,0.0,inf,0.088341,-29464,
knapsack,uncorrelated,80,2,penalty,ils,80,800000,-32328,0.4839,0.54799,0.002167,-32251,438389
knapsack,uncorrelated,80,1,penalty,mbde,80,800000,-32981,0.0323,0.64861,0.010113,-32715,518890
knapsack,uncorrelated,80,2,penalty,ga,80,800000,-32328,1.0,0.03094,0.0,-32328,24750
knapsack,uncorrelated,80,2,penalty,mga,80,800000,-32328,0.9355,0.08926,0.000329,-32328,71411
knapsack,uncorrelated,80,2,penalty,bpso,80,800000,-32328,0.2258,0.35018,0.004321,-32178,280140
knapsack,uncorrelated,80,2,penalty,bde,80,800000,-32328,0.3871,0.59357,0.004736,-32168,474855.0
knapsack,uncorrelated,80,2,penalty,mbde,80,800000,-32328,0.0323,0.35337,0.008682,-32066,282699
knapsack,uncorrelated,120,0,penalty,floor,120,1200000,-46538,0.0,inf,0.117095,-41127,
knapsack,uncorrelated,120,0,penalty,ils,120,1200000,-46538,0.0,inf,0.005965,-46267,
knapsack,uncorrelated,120,0,penalty,ga,120,1200000,-46538,0.2581,0.09056,0.000431,-46519,108675.0
knapsack,uncorrelated,80,2,penalty,mbpso,80,800000,-32328,0.0645,0.87686,0.010492,-31990,701486.0
knapsack,uncorrelated,120,0,penalty,bpso,120,1200000,-46538,0.0323,0.35895,0.003771,-46385,430740
knapsack,uncorrelated,120,0,penalty,mga,120,1200000,-46538,0.0968,0.23832,0.000893,-46499,285983
knapsack,uncorrelated,120,0,penalty,mbpso,120,1200000,-46538,0.0,inf,0.031176,-45094,
knapsack,uncorrelated,120,0,penalty,mbde,120,1200000,-46538,0.0,inf,0.008823,-46187,
knapsack,uncorrelated,120,0,penalty,bde,120,1200000,-46538,0.0,inf,0.004141,-46351,
knapsack,uncorrelated,120,1,penalty,ils,120,1200000,-47897,0.0,inf,0.005407,-47651,
knapsack,uncorrelated,120,1,penalty,floor,120,1200000,-47897,0.0,inf,0.141938,-40905,
knapsack,uncorrelated,120,1,penalty,ga,120,1200000,-47897,0.0,inf,0.000397,-47877,
knapsack,uncorrelated,120,1,penalty,bde,120,1200000,-47897,0.0,inf,0.003554,-47734,
knapsack,uncorrelated,120,1,penalty,mbde,120,1200000,-47897,0.0,inf,0.008893,-47456,
knapsack,uncorrelated,120,2,penalty,floor,120,1200000,-47685,0.0,inf,0.112849,-42267,
knapsack,uncorrelated,120,1,penalty,mbpso,120,1200000,-47897,0.0,inf,0.044485,-45844,
knapsack,uncorrelated,120,1,penalty,mga,120,1200000,-47897,0.0323,0.99025,0.000816,-47877,1188304
knapsack,uncorrelated,120,2,penalty,ils,120,1200000,-47685,0.0,inf,0.007993,-47337,
knapsack,uncorrelated,120,2,penalty,ga,120,1200000,-47685,0.6452,0.50521,0.000382,-47685,606255.0
knapsack,uncorrelated,120,1,penalty,bpso,120,1200000,-47897,0.0,inf,0.004664,-47706,
knapsack,uncorrelated,120,2,penalty,mga,120,1200000,-47685,0.1935,0.52138,0.00148,-47597,625657.5
knapsack,uncorrelated,120,2,penalty,bpso,120,1200000,-47685,0.0968,0.36288,0.00514,-47445,435450
knapsack,uncorrelated,120,2,penalty,mbde,120,1200000,-47685,0.0,inf,0.010363,-47231,
knapsack,uncorrelated,120,2,penalty,bde,120,1200000,-47685,0.0,inf,0.005014,-47447,
knapsack,uncorrelated,120,2,penalty,mbpso,120,1200000,-47685,0.0,inf,0.031937,-46245,
knapsack,strongly,30,0,penalty,floor,30,300000,-8083,0.0323,0.04942,0.01042,-7983,14825
knapsack,strongly,30,0,penalty,ils,30,300000,-8083,0.9677,0.02477,1.6e-05,-8083,7432.5
knapsack,strongly,30,0,penalty,ga,30,300000,-8083,0.871,0.127,4e-05,-8083,38100
knapsack,strongly,30,0,penalty,mga,30,300000,-8083,0.7419,0.07554,8e-05,-8083,22662
knapsack,strongly,30,0,penalty,mbde,30,300000,-8083,0.0645,0.27275,0.011562,-7980,81823.5
knapsack,strongly,30,0,penalty,bde,30,300000,-8083,0.0645,0.14965,0.018557,-7963,44895.0
knapsack,strongly,30,0,penalty,mbpso,30,300000,-8083,1.0,0.08132,0.0,-8083,24395
knapsack,strongly,30,0,penalty,bpso,30,300000,-8083,0.8387,0.2233,9.2e-05,-8083,66990.0
knapsack,strongly,30,1,penalty,ils,30,300000,-8991,0.4839,0.16212,0.000832,-8989,48635
knapsack,strongly,30,1,penalty,floor,30,300000,-8991,0.0,inf,0.011115,-8888,
knapsack,strongly,30,1,penalty,ga,30,300000,-8991,0.7097,0.26705,0.001532,-8991,80115.0
knapsack,strongly,30,1,penalty,bpso,30,300000,-8991,0.6452,0.3011,0.00019,-8991,90330.0
